Tytul,Cena_Surowa,Link
Studio w pobliżu umed1 300 zł,1 300 zł,https://www.otodom.pl/pl/oferta/studio-w-poblizu-umed-ID4AITt.html
Stylowy 2 pokojowy apartament w sercu miasta - bezpośrednio2 100 zł,2 100 zł,https://www.otodom.pl/pl/oferta/stylowy-2-pokojowy-apartament-w-sercu-miasta-bezposrednio-ID4AotS.html
Nowe 2 pokojowe z miejscem parkingowy | Teofilów2 100 zł,2 100 zł,https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-z-miejscem-parkingowy-teofilow-ID4AC7T
Piękna kawalerka po remoncie przy Łódź Fabryczna1 700 zł,1 700 zł,https://www.otodom.pl/pl/oferta/piekna-kawalerka-po-remoncie-przy-lodz-fabryczna-ID4qCAz
Mieszkanie na wynajem ul. Tatrzańska1 300 zł,1 300 zł,https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-ul-tatrzanska-CID3-ID1ajJbx.html?search_reason=search%7Cpromoted
"mieszkanie 1 pokojowe, duża kawalerka, ul. Piotrkowska 182, Manhattan1 500 zł",1 500 zł,https://www.olx.pl/d/oferta/mieszkanie-1-pokojowe-duza-kawalerka-ul-piotrkowska-182-manhattan-CID3-ID17V7th.html?search_reason=search%7Cpromoted
Kawalerka na wynajem | 30 m² | klimatyzacja1 600 zł,1 600 zł,https://www.otodom.pl/pl/oferta/kawalerka-na-wynajem-30-m-klimatyzacja-ID4AFCp.html
Super Mieszkanie na wynajem2 900 zł,2 900 zł,https://www.olx.pl/d/oferta/super-mieszkanie-na-wynajem-CID3-ID1ahu6o.html?search_reason=search%7Corganic
Nowe Nigdy nie zamieszkałe mieszkanie w centrum - od Właściciela1 900 zł,1 900 zł,https://www.olx.pl/d/oferta/nowe-nigdy-nie-zamieszkale-mieszkanie-w-centrum-od-wlasciciela-CID3-ID19IW09.html?search_reason=search%7Corganic
"RENTAROOM.PL ENG RUS studio centrum Piotrkowska,Politechnika ul.Żwirki1 200 zł",1 200 zł,https://www.olx.pl/d/oferta/rentaroom-pl-eng-rus-studio-centrum-piotrkowska-politechnika-ul-zwirki-CID3-ID1a5a2m.html?search_reason=search%7Corganic
"Wynajmę Nowe Mieszkanie plus Garaż, 2 pokoje, ul. Telefoniczna, Łódź2 490 złdo negocjacji",2 490 złdo negocjacji,https://www.olx.pl/d/oferta/wynajme-nowe-mieszkanie-plus-garaz-2-pokoje-ul-telefoniczna-lodz-CID3-ID19KjJE.html?search_reason=search%7Corganic
Kawalerka w centrum Łodzi1 300 zł,1 300 zł,https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-lodzi-ID4B35h
Atrakcyjne mieszkanie z antresolą przy Filmówce | Parking | Centrum2 300 złdo negocjacji,2 300 złdo negocjacji,https://www.olx.pl/d/oferta/atrakcyjne-mieszkanie-z-antresola-przy-filmowce-parking-centrum-CID3-ID1aba1A.html?search_reason=search%7Corganic
Nowoczesna Kawalerka | Pets Friendly | Bezpośrednio | Kilińskiego1 550 zł,1 550 zł,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-pets-friendly-bezposrednio-kilinskiego-ID4AOJQ
Wynajmę 2 pokojowe mieszkanie w bloku w dzielnicy Łódź-Górna1 500 zł,1 500 zł,https://www.olx.pl/d/oferta/wynajme-2-pokojowe-mieszkanie-w-bloku-w-dzielnicy-lodz-gorna-CID3-ID1affrA.html?search_reason=search%7Corganic
Dwa pokoje z aneksem kuchennym bezposrednio2 190 zł,2 190 zł,https://www.olx.pl/d/oferta/dwa-pokoje-z-aneksem-kuchennym-bezposrednio-CID3-ID1a0t52.html?search_reason=search%7Corganic
kawalerka do wynajęcia Łódź Zarzew1 500 zł,1 500 zł,https://www.olx.pl/d/oferta/kawalerka-do-wynajecia-lodz-zarzew-CID3-ID19eFLA.html?search_reason=search%7Cpromoted
Wynajmę- ładne mieszkanie na ul. Narutowicza - przy radiostacji.1 700 zł,1 700 zł,https://www.olx.pl/d/oferta/wynajme-ladne-mieszkanie-na-ul-narutowicza-przy-radiostacji-CID3-ID1abDOc.html?search_reason=search%7Cpromoted
2 pokoje ul. Rąbieńska 492 000 zł,2 000 zł,https://www.otodom.pl/pl/oferta/2-pokoje-ul-rabienska-49-ID4AEte
"Mieszkanie 62m2 , 3 pokoje Łódź ul.Chełmońskiego ,wysoki standard z garażem3 180 zł",3 180 zł,https://www.olx.pl/d/oferta/mieszkanie-62m2-3-pokoje-lodz-ul-chelmonskiego-wysoki-standard-z-garazem-CID3-ID19LNuD.html?search_reason=search%7Corganic
Piękna  kawalerka 32m2 w nowym apartamentowcu2 050 zł,2 050 zł,https://www.olx.pl/d/oferta/piekna-kawalerka-32m2-w-nowym-apartamentowcu-CID3-ID1albXX.html?search_reason=search%7Corganic
"Wynajmę mieszkanie Łódź - Śródmieście, ul. Nawrot 481 900 zł",1 900 zł,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-lodz-srodmiescie-ul-nawrot-48-ID4ATdR
Bez prowizji | Jasna umowa | Zwierzolubne | Doskonała lokalizacja1 550 zł,1 550 zł,https://www.otodom.pl/pl/oferta/bez-prowizji-jasna-umowa-zwierzolubne-doskonala-lokalizacja-ID4B0rw
Franciszkańska Place - Mieszkania Na Wynajem! Bezpośrednio!1 999 zł,1 999 zł,https://www.otodom.pl/pl/oferta/franciszkanska-place-mieszkania-na-wynajem-bezposrednio-ID4zQSp
"Piękne kawalerki do pierwszego zamieszkania, ul. Legionów | CENTRUM1 290 zł",1 290 zł,https://www.otodom.pl/pl/oferta/piekne-kawalerki-do-pierwszego-zamieszkania-ul-legionow-centrum-ID4ALBy
RENTAROOM.PL ENG RUS Manufaktura kawalerka ul.Lutomierska1 700 zł,1 700 zł,https://www.olx.pl/d/oferta/rentaroom-pl-eng-rus-manufaktura-kawalerka-ul-lutomierska-CID3-ID18puGq.html?search_reason=search%7Corganic
Piękno i praktyczne wyposażenie idą razem w parze na Żeligowskiego 42/49a1 600 zł,1 600 zł,https://www.olx.pl/d/oferta/piekno-i-praktyczne-wyposazenie-ida-razem-w-parze-na-zeligowskiego-42-49a-CID3-ID1agQPR.html?search_reason=search%7Corganic
Wygodne 2 rozkładowe pokoje na Bałutach1 600 zł,1 600 zł,https://www.otodom.pl/pl/oferta/wygodne-2-rozkladowe-pokoje-na-balutach-ID4B0wk
Kawalerka w pobliżu Manufaktury po generalnym remoncie | Legionów 771 400 zł,1 400 zł,https://www.otodom.pl/pl/oferta/kawalerka-w-poblizu-manufaktury-po-generalnym-remoncie-legionow-77-ID4A2fX
Apartament Łódź Śródmieście 3 pokoje 30 m2 taras3 200 zł,3 200 zł,https://www.olx.pl/d/oferta/apartament-lodz-srodmiescie-3-pokoje-30-m2-taras-CID3-ID1a04rJ.html?search_reason=search%7Cpromoted
Wynajmę mieszkanie dwupokojowe przy parku Julianowskim Łódź-Bałuty2 000 zł,2 000 zł,https://www.olx.pl/d/oferta/wynajme-mieszkanie-dwupokojowe-przy-parku-julianowskim-lodz-baluty-CID3-ID1ag6Pu.html?search_reason=search%7Cpromoted
Doskonała lokalizacja | Bez prowizji | Wyposażone2 840 zł,2 840 zł,https://www.otodom.pl/pl/oferta/doskonala-lokalizacja-bez-prowizji-wyposazone-ID4AYgw
Nowoczesna kawalerka na Teofilowie1 300 zł,1 300 zł,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-na-teofilowie-ID4B0wm
"Wyszyńskiego, nowoczesna kawalerka po remoncie1 400 zł",1 400 zł,https://www.otodom.pl/pl/oferta/wyszynskiego-nowoczesna-kawalerka-po-remoncie-ID4ATcv
"Wynajmę nowoczesne mieszkanie pow. 59,85 m2.  Rąbieńska 602 600 złdo negocjacji",2 600 złdo negocjacji,https://www.olx.pl/d/oferta/wynajme-nowoczesne-mieszkanie-pow-59-85-m2-rabienska-60-CID3-ID19eKKe.html?search_reason=search%7Corganic
Nowo wyremontowana kawalerka1 650 zł,1 650 zł,https://www.olx.pl/d/oferta/nowo-wyremontowana-kawalerka-CID3-ID1afmKX.html?search_reason=search%7Corganic
Duże przestronne mieszkanie na Chojnach1 800 zł,1 800 zł,https://www.olx.pl/d/oferta/duze-przestronne-mieszkanie-na-chojnach-CID3-ID196b2H.html?search_reason=search%7Corganic
mieszkanie 2 - pokojowe na wynajem2 500 złdo negocjacji,2 500 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-na-wynajem-CID3-ID18Tqxt.html?search_reason=search%7Corganic
Nowoczesne mieszkanie w centrum Łódź ul Drewnowska2 100 zł,2 100 zł,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-w-centrum-lodz-ul-drewnowska-ID4ATda
2 pokoje na wynajem w Centrum2 000 zł,2 000 zł,https://www.otodom.pl/pl/oferta/2-pokoje-na-wynajem-w-centrum-ID4A9YE
"Piękne mieszkanie z balkonem i osobną sypialnią, przy OFF i Parku2 100 zł",2 100 zł,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-z-balkonem-i-osobna-sypialnia-przy-off-i-parku-ID4A5C3
Cudowne Nowe Mieszkanie w Centrum Łodzi Ul. 1 Maja Wysoki Standard HIT1 900 zł,1 900 zł,https://www.olx.pl/d/oferta/cudowne-nowe-mieszkanie-w-centrum-lodzi-ul-1-maja-wysoki-standard-hit-CID3-ID19ab6r.html?search_reason=search%7Corganic
"Kawalerka 27 m. osiedleŻubardz , niedaleko do Manufaktury1 300 złdo negocjacji",1 300 złdo negocjacji,https://www.olx.pl/d/oferta/kawalerka-27-m-osiedlezubardz-niedaleko-do-manufaktury-CID3-ID1aa0nq.html?search_reason=search%7Cpromoted
"Do wynajęcia komfortowe, 2-pokojowe mieszkanie z balkonem2 200 zł",2 200 zł,https://www.olx.pl/d/oferta/do-wynajecia-komfortowe-2-pokojowe-mieszkanie-z-balkonem-CID3-ID19mREM.html?search_reason=search%7Cpromoted
kawalerka z antresolą w stylu loftowym1 500 zł,1 500 zł,https://www.olx.pl/d/oferta/kawalerka-z-antresola-w-stylu-loftowym-CID3-ID19lb58.html?search_reason=search%7Cpromoted
"Łódź Śródmieście, FUZJA, klimatyzacja, widok na patio, garaż2 500 zł",2 500 zł,https://www.otodom.pl/pl/oferta/lodz-srodmiescie-fuzja-klimatyzacja-widok-na-patio-garaz-ID4wVt6
Wynajme mieszkanie1 700 zł,1 700 zł,https://www.olx.pl/d/oferta/wynajme-mieszkanie-CID3-ID19XmQk.html?search_reason=search%7Corganic
Przestronna kawalerka | Bałuty | idealna dla singla lub pary1 400 zł,1 400 zł,https://www.otodom.pl/pl/oferta/przestronna-kawalerka-baluty-idealna-dla-singla-lub-pary-ID4B2vv
Przytulna kawalerka blisko Politechniki i Sukcesji1 375 zł,1 375 zł,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-blisko-politechniki-i-sukcesji-ID4Aftt
Komfortowe Mieszkanie na Retkini2 000 zł,2 000 zł,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-na-retkini-ID4bcNL.html
"M2 Ul. Wileńska Retkinia ,blisko Centrum1 200 zł",1 200 zł,https://www.otodom.pl/pl/oferta/m2-ul-wilenska-retkinia-blisko-centrum-ID4x6EX
Dwa pokoje nieprzechodnie - wysoki standard nowe budownictwo2 600 zł,2 600 zł,https://www.olx.pl/d/oferta/dwa-pokoje-nieprzechodnie-wysoki-standard-nowe-budownictwo-CID3-ID11TJVV.html?search_reason=search%7Corganic
Mieszkanie z antresolą Lutomierska 162 SLLOW LOFT2 200 zł,2 200 zł,https://www.otodom.pl/pl/oferta/mieszkanie-z-antresola-lutomierska-162-sllow-loft-ID4bQtf
Do wynajęcia dwupokojowe na Dołach1 550 zł,1 550 zł,https://www.olx.pl/d/oferta/do-wynajecia-dwupokojowe-na-dolach-CID3-ID17IJgq.html?search_reason=search%7Corganic
Mieszkanie / Duża Kawalerka 37m2 Łódź Włókniarzy1 150 złdo negocjacji,1 150 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-duza-kawalerka-37m2-lodz-wlokniarzy-CID3-ID19tR77.html?search_reason=search%7Corganic
Kawalerka do wynajęcia1 500 zł,1 500 zł,https://www.olx.pl/d/oferta/kawalerka-do-wynajecia-CID3-ID1alq3H.html?search_reason=search%7Cpromoted
"Mieszkanie 62m2 , 3 pokoje Łódź ul.Chełmońskiego ,wysoki standard z garażem3 180 zł",3 180 zł,https://www.olx.pl/d/oferta/mieszkanie-62m2-3-pokoje-lodz-ul-chelmonskiego-wysoki-standard-z-garazem-CID3-ID19LNuD.html?search_reason=search%7Cpromoted
"Wynajmę mieszkanie 2 pokoje Dąbrowskiego 99, parter 38 m2 po remoncie1 750 zł",1 750 zł,https://www.olx.pl/d/oferta/wynajme-mieszkanie-2-pokoje-dabrowskiego-99-parter-38-m2-po-remoncie-CID3-ID17Y0jD.html?search_reason=search%7Cpromoted
"Nowe mieszkania- Łodź-Centrum, ul. Tuwima 491 200 zł",1 200 zł,https://www.olx.pl/d/oferta/nowe-mieszkania-lodz-centrum-ul-tuwima-49-CID3-IDWd46D.html?search_reason=search%7Corganic
"Nowy, przestronny apartament blisko centrum2 500 zł",2 500 zł,https://www.olx.pl/d/oferta/nowy-przestronny-apartament-blisko-centrum-CID3-ID1aa5o1.html?search_reason=search%7Corganic
"Wynajem mieszkanie 29 m2, Bałuty,  , ul. Julianowska1 200 zł",1 200 zł,https://www.olx.pl/d/oferta/wynajem-mieszkanie-29-m2-baluty-ul-julianowska-CID3-ID1a8iME.html?search_reason=search%7Corganic
Mieszkanie 3 pokojowe Piotrkowska Balkon Parking3 100 zł,3 100 zł,https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-piotrkowska-balkon-parking-CID3-ID19QEeD.html?search_reason=search%7Corganic
Słoneczne mieszkanie Łódź Teofilów2 200 zł,2 200 zł,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-lodz-teofilow-ID4AUuf
Wynajem - 2 pokoje + ogródek + garaż2 300 zł,2 300 zł,https://www.otodom.pl/pl/oferta/wynajem-2-pokoje-ogrodek-garaz-ID4z0Wh
Doskonała lokalizacja | Bez prowizji | Wyposażone2 840 zł,2 840 zł,https://www.otodom.pl/pl/oferta/doskonala-lokalizacja-bez-prowizji-wyposazone-ID4AYgw
Fuzja | Mieszkanie Typu Studio | 30 M2 | 4 Piętro | Balkon1 850 zł,1 850 zł,https://www.otodom.pl/pl/oferta/fuzja-mieszkanie-typu-studio-30-m2-4-pietro-balkon-ID4vxpO.html
Przytulne mieszkanie na Teofilowie - REZERWACJA1 600 zł,1 600 zł,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-na-teofilowie-rezerwacja-ID4ADBr.html
Nowoczesny apartament na Osiedlu Agosto!2 200 zł,2 200 zł,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-na-osiedlu-agosto-ID4AkqJ
Piękno i praktyczne wyposażenie idą razem w parze na Żeligowskiego 42/49a1 600 zł,1 600 zł,https://www.olx.pl/d/oferta/piekno-i-praktyczne-wyposazenie-ida-razem-w-parze-na-zeligowskiego-42-49a-CID3-ID1agQPR.html?search_reason=search%7Cpromoted
"Super mieszkanie, 120 m².  duże5 500 zł",5 500 zł,https://www.olx.pl/d/oferta/super-mieszkanie-120-m-duze-CID3-ID1a0F0F.html?search_reason=search%7Cpromoted
"Nowe mieszkania- Łodź-Centrum, ul. Tuwima 491 200 zł",1 200 zł,https://www.olx.pl/d/oferta/nowe-mieszkania-lodz-centrum-ul-tuwima-49-CID3-IDWd46D.html?search_reason=search%7Cpromoted
Komfortowe mieszkanie przy ul. Żwirki2 500 zł,2 500 zł,https://www.olx.pl/d/oferta/komfortowe-mieszkanie-przy-ul-zwirki-CID3-ID1a1FiO.html?search_reason=search%7Corganic
Mieszkanie 2 pokoje SPORNA / Wojska Polskiego Łódź1 800 zł,1 800 zł,https://www.olx.pl/d/oferta/mieszkanie-2-pokoje-sporna-wojska-polskiego-lodz-CID3-ID1aiBzy.html?search_reason=search%7Corganic
Do wynajęcia trzypokojowe mieszkanie w apartamentowcu przy ul. Matejki 11.2 700 zł,2 700 zł,https://www.olx.pl/d/oferta/do-wynajecia-trzypokojowe-mieszkanie-w-apartamentowcu-przy-ul-matejki-11-CID3-ID1a6Llo.html?search_reason=search%7Corganic
"2-pokojowe mieszkanie na wynajem, Łódź, Telefoniczna2 350 zł",2 350 zł,https://www.olx.pl/d/oferta/2-pokojowe-mieszkanie-na-wynajem-lodz-telefoniczna-CID3-ID1aaYF0.html?search_reason=search%7Corganic
WYNAJEM Mieszkania1 800 zł,1 800 zł,https://www.olx.pl/d/oferta/wynajem-mieszkania-CID3-ID19VNJN.html?search_reason=search%7Corganic
Oddam w Dobre Ręce1 600 zł,1 600 zł,https://www.olx.pl/d/oferta/oddam-w-dobre-rece-CID3-ID1afoLX.html?search_reason=search%7Corganic
2 pokoje ul. Rąbieńska 492 000 zł,2 000 zł,https://www.otodom.pl/pl/oferta/2-pokoje-ul-rabienska-49-ID4AEte
Umeblowane mieszkanie w ciekawej lokalizacji1 600 zł,1 600 zł,https://www.otodom.pl/pl/oferta/umeblowane-mieszkanie-w-ciekawej-lokalizacji-ID4AOz8.html
Przytulna niezależna kawalerka w zrewitalizowanym budynku!1 150 zł,1 150 zł,https://www.otodom.pl/pl/oferta/przytulna-niezalezna-kawalerka-w-zrewitalizowanym-budynku-ID4Aed8
2 pokoje po remoncie na zielonym Teofilowie2 000 zł,2 000 zł,https://www.olx.pl/d/oferta/2-pokoje-po-remoncie-na-zielonym-teofilowie-CID3-ID1ajhYb.html?search_reason=search%7Corganic
Wynajmę Studio kawalerka ul. Kopernika 45 Speak Eng1 200 zł,1 200 zł,https://www.olx.pl/d/oferta/wynajme-studio-kawalerka-ul-kopernika-45-speak-eng-CID3-ID19VdKp.html?search_reason=search%7Cpromoted
"Mieszkanie M2 - Łódź - Sterlinga ,wynajem1 500 zł",1 500 zł,https://www.olx.pl/d/oferta/mieszkanie-m2-lodz-sterlinga-wynajem-CID3-ID18lyyx.html?search_reason=search%7Cpromoted
***PREMIUM* Kawalerka z balkonem przy Filmówce1 900 zł,1 900 zł,https://www.olx.pl/d/oferta/premium-kawalerka-z-balkonem-przy-filmowce-CID3-ID1a6v2P.html?search_reason=search%7Cpromoted
2 pokoje po remoncie na zielonym Teofilowie2 000 zł,2 000 zł,https://www.olx.pl/d/oferta/2-pokoje-po-remoncie-na-zielonym-teofilowie-CID3-ID1ajhYb.html?search_reason=search%7Corganic
przytulne jednopokojowe mieszkanie na Bałutach1 600 zł,1 600 zł,https://www.otodom.pl/pl/oferta/przytulne-jednopokojowe-mieszkanie-na-balutach-ID4hNVH
"Kawalerka Legionów, do pierwszego zamieszkania | MANUFAKTURA centrum1 370 zł",1 370 zł,https://www.otodom.pl/pl/oferta/kawalerka-legionow-do-pierwszego-zamieszkania-manufaktura-centrum-ID4ApbK
"Przestronna kawalerka na wynajem, 40m2, Kilińskiego 121 ""ILUMINO""2 150 zł",2 150 zł,https://www.olx.pl/d/oferta/przestronna-kawalerka-na-wynajem-40m2-kilinskiego-121-ilumino-CID3-ID19sbDe.html?search_reason=search%7Corganic
"Kawalerka Czerwony Rynek, ul. Łączna, Widok na panoramę miasta1 150 zł",1 150 zł,https://www.olx.pl/d/oferta/kawalerka-czerwony-rynek-ul-laczna-widok-na-panorame-miasta-CID3-ID1ajIQF.html?search_reason=search%7Corganic
WYNAJEM MIESZKANIA | Łódź Bałuty | 25 m² \ z ogródkiem1 600 zł,1 600 zł,https://www.olx.pl/d/oferta/wynajem-mieszkania-lodz-baluty-25-m-z-ogrodkiem-CID3-ID1aeTdF.html?search_reason=search%7Corganic
Apartamentowiec W Śródmieściu! Wysoki Standard Z Balkonem! Winda1 900 zł,1 900 zł,https://www.otodom.pl/pl/oferta/apartamentowiec-w-srodmiesciu-wysoki-standard-z-balkonem-winda-ID4AdnI.html
Studio w centrum miasta1 500 zł,1 500 zł,https://www.otodom.pl/pl/oferta/studio-w-centrum-miasta-ID4AITd.html
2 pokoje z balkonem | ul. Łagiewnicka / Wawelska | Stare Bałuty1 850 zł,1 850 zł,https://www.olx.pl/d/oferta/2-pokoje-z-balkonem-ul-lagiewnicka-wawelska-stare-baluty-CID3-ID19vKTw.html?search_reason=search%7Corganic
[ul. Aleksandrowska 12a] Teofilów - Kawalerka 26m2 [Kaucja 500 pln]1 500 zł,1 500 zł,https://www.olx.pl/d/oferta/ul-aleksandrowska-12a-teofilow-kawalerka-26m2-kaucja-500-pln-CID3-ID1a9C3N.html?search_reason=search%7Corganic
Kawalerka ul. Pomorska/Kamińskiego1 400 zł,1 400 zł,https://www.olx.pl/d/oferta/kawalerka-ul-pomorska-kaminskiego-CID3-ID1ak1Vx.html?search_reason=search%7Cpromoted
kawalerka przy ul. Legionów 751 100 zł,1 100 zł,https://www.olx.pl/d/oferta/kawalerka-przy-ul-legionow-75-CID3-ID1aeoUi.html?search_reason=search%7Cpromoted
2 pokoje 31m Retkinia z pięknym widokiem1 990 zł,1 990 zł,https://www.olx.pl/d/oferta/2-pokoje-31m-retkinia-z-pieknym-widokiem-CID3-ID19txBw.html?search_reason=search%7Cpromoted
"Mieszkanie, Łódź1 150 zł",1 150 zł,https://www.otodom.pl/pl/oferta/-ID4ufuV.html
Nowoczesne mieszkanie do wynajęcia 66m2 Olechów3 000 zł,3 000 zł,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-do-wynajecia-66m2-olechow-ID4i8GI
Na wynajem 2pok. mieszkanie na Milionowej 8 z klimatyzacją2 500 zł,2 500 zł,https://www.olx.pl/d/oferta/na-wynajem-2pok-mieszkanie-na-milionowej-8-z-klimatyzacja-CID3-ID1a1Bpl.html?search_reason=search%7Corganic
Na wynajem 2pok. mieszkanie na Milionowej 8 z klimatyzacją2 500 zł,2 500 zł,https://www.olx.pl/d/oferta/na-wynajem-2pok-mieszkanie-na-milionowej-8-z-klimatyzacja-CID3-ID1a1Bic.html?search_reason=search%7Corganic
